model_name,precision,architecture,size_category,parameters,latency_ms,throughput_sps,peak_memory_mb,model_size_mb,actual_quantization_method,simulated_accuracy,stability_score,speedup,memory_reduction_pct
mobilevit-xxs-edge,fp32,MobileViT-XXS-Edge,edge_optimized,1300000.0,5.15,194.24,11.84,3.64,fp32_baseline,0.85,0.95,1.0,0.0
mobilevit-xxs-edge,fp16,MobileViT-XXS-Edge,edge_optimized,1300000.0,5.59,178.78,10.04,1.82,fp16_half_precision,0.85,0.95,0.9212880143112702,15.202702702702709
mobilevit-xxs-edge,int8_bitsandbytes,MobileViT-XXS-Edge,edge_optimized,1300000.0,16.91,59.13,9.61,1.35,bitsandbytes_int8_success,0.85,0.95,0.30455351862803076,18.834459459459463
mobilevit-xxs-edge,int4_nf4,MobileViT-XXS-Edge,edge_optimized,1300000.0,17.16,58.28,9.61,1.35,bitsandbytes_int8_success,0.85,0.95,0.30011655011655014,18.834459459459463
deit-tiny-ultra-efficient,fp32,DeiT-Tiny-Ultra-Efficient,specialized_efficient,5700000.0,3.69,271.21,29.37,21.22,fp32_baseline,0.85,0.95,1.0,0.0
deit-tiny-ultra-efficient,fp16,DeiT-Tiny-Ultra-Efficient,specialized_efficient,5700000.0,3.87,258.48,18.75,10.61,fp16_half_precision,0.85,0.95,0.9534883720930232,36.15934627170582
deit-tiny-ultra-efficient,int8_bitsandbytes,DeiT-Tiny-Ultra-Efficient,specialized_efficient,5700000.0,25.73,38.86,13.8,5.55,bitsandbytes_int8_success,0.85,0.95,0.14341235911387484,53.013278855975486
deit-tiny-ultra-efficient,int4_nf4,DeiT-Tiny-Ultra-Efficient,specialized_efficient,5700000.0,25.55,39.14,13.8,5.55,bitsandbytes_int8_success,0.85,0.95,0.14442270058708415,53.013278855975486
vit-base-patch32-specialized,fp32,ViT-Base-Patch32-Specialized,specialized_efficient,86000000.0,3.69,271.28,343.99,335.87,fp32_baseline,0.85,0.95,1.0,0.0
vit-base-patch32-specialized,fp16,ViT-Base-Patch32-Specialized,specialized_efficient,86000000.0,3.78,264.79,176.68,167.93,fp16_half_precision,0.85,0.95,0.9761904761904763,48.6380418035408
vit-base-patch32-specialized,int8_bitsandbytes,ViT-Base-Patch32-Specialized,specialized_efficient,86000000.0,21.3,46.95,95.51,86.93,bitsandbytes_int8_success,0.85,0.95,0.1732394366197183,72.23465798424374
vit-base-patch32-specialized,int4_nf4,ViT-Base-Patch32-Specialized,specialized_efficient,86000000.0,21.42,46.68,95.51,86.93,bitsandbytes_int8_success,0.85,0.95,0.17226890756302518,72.23465798424374
